id,station_name,code,longitude,latitude,elevation,Year,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
43466,COLOMBO,3,79.87,6.9,7,2015,7,25.3,26.3,26.3,28.1,27.8,28.4,28,27.9,28,27.7,25.4,26.5,28.1,28,27.8,27.3,27.4,27.6,27,26.6,26.1,27.3,27.1,24.1,26.4,25.3,25.1,25.5,26,27.5,27.2
43466,COLOMBO,3,79.87,6.9,7,2015,8,26.4,27.3,27.8,26.4,26.2,26.2,27.7,27.5,28.1,27.7,27.6,27.4,27.5,27.8,27.9,27.3,24.3,24.7,24.7,25.5,27.5,26.8,26.6,24.8,27.3,27.3,26.1,25.8,24.6,27.6,25.6
43466,COLOMBO,3,79.87,6.9,7,2015,9,26.3,26.7,26.9,24.2,25.6,25.1,23.2,23.9,24.6,25.6,23.4,24,26.9,27.9,26.7,24.5,25.2,26.7,24.4,25.1,25.1,27,25.8,26.9,24.6,24.4,23.9,23.4,23.7,23.4,
43466,COLOMBO,3,79.87,6.9,7,2015,10,23.4,25,25.4,26.9,24.9,24.4,25.4,25.2,25.1,24.8,24.9,25.4,25.1,24.9,24.3,24.2,24.2,23.9,23.9,24.9,24.3,24.6,25.2,25,24.7,24.5,24,24.4,24.9,24.4,25.2
43466,COLOMBO,3,79.87,6.9,7,2015,11,23.9,24.2,23.6,23.7,24,24,24.2,23.9,24.3,25,25.2,25,24.1,23.9,23.9,23.8,24.6,25.7,25.6,24.2,25,24.9,24.4,23.6,23.4,24.5,24.5,25.3,23.9,24.7,
43466,COLOMBO,3,79.87,6.9,7,2015,12,23.9,25.1,24.9,25.5,24.7,24.2,24.4,24.4,23.3,24.3,24.3,25.1,24.8,24.4,23.8,23.9,23.4,25.6,23.6,23.8,25,23.7,23,23.5,23.6,24.1,25.6,24.9,24.7,24.3,24.1
43466,COLOMBO,3,79.87,6.9,7,2016,1,25.4,24.3,24,24.9,25.1,24.8,23.7,25.6,24.2,25.8,25,23.8,23.7,23.4,21.9,22.9,23.3,23,23.5,24.5,25.7,24.5,25.1,25.5,24.9,25.3,24.3,21.8,23.6,22.6,22.9
43466,COLOMBO,3,79.87,6.9,7,2016,2,23,24.3,22.7,22.8,24.2,25.3,26.1,25.2,26.3,24.7,25.4,24.4,24.9,25.5,25.1,24.1,25.7,25.6,24.9,24.9,24.1,25.7,25.4,24.5,26.7,23.6,24.9,25.4,26.2,,
43466,COLOMBO,3,79.87,6.9,7,2016,3,25.6,25.1,25.7,25.9,26,26.2,26.7,26.2,25.5,26.9,26.7,26.1,26,26.8,26.2,25.9,26.9,26.5,25.8,25.5,26.2,25.5,26,27,26.7,26.3,27.7,26.6,24.5,24.1,24.3
43466,COLOMBO,3,79.87,6.9,7,2016,4,26.2,25.4,25.6,26.3,26.3,25.4,25.8,27.2,26.5,26.8,26.5,27.1,27.5,27.7,26.5,26.7,26.7,26.4,27.6,24.7,25.8,25,27,27.3,28.3,27.9,25.7,26.6,26,26.6,
