id,station_name,code,longitude,latitude,elevation,Year,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
43466,COLOMBO,5,79.87,6.9,7,2015,12,0.4,0,1.2,9.3,0.6,3.6,86.3,59.4,1.6,41.6,1.4,1.7,10.6,3,114.4,0,0.4,13.4,3.5,0,0,0,0,0,0,0,6,0,18.2,0,0
43466,COLOMBO,5,79.87,6.9,7,2016,1,0,0,0,0,13.4,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0
43466,COLOMBO,5,79.87,6.9,7,2016,2,0,0,0,0,0,0,0,0,51.4,0,0,0,0,0,6.6,0,0,1.9,15,3.9,0,0,0,0,27.9,0,0,0,0,,
43466,COLOMBO,5,79.87,6.9,7,2016,3,2.5,0,0,4.2,0.3,0,5.7,9.8,0,0.6,4.3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1.2,50.1,0.2,9.4
43466,COLOMBO,5,79.87,6.9,7,2016,4,0,0,0,0,22,0,0,1.3,3.8,0,2.3,0,0.3,7,36.8,0,0.1,0,32.3,11.6,53.1,0,0,0,0,0,0,0,0.5,14.8,
43466,COLOMBO,5,79.87,6.9,7,2016,5,2.1,0,25.7,13.2,4.1,0,17.8,10.8,3.4,22.1,33.2,49.7,2.6,76.4,256.9,26,19.5,0.9,9.8,0.8,1.8,10.6,4.8,9.4,12.1,4.1,112.6,0.4,0.4,6.2,15
43466,COLOMBO,5,79.87,6.9,7,2016,6,7.6,0.2,2.2,6.3,8.7,0,48.3,7.4,8.3,15,16.1,6.6,0,0,0,0,1.8,2.6,0,1.2,0,0,0,0,0,0,0,0,0,0,
43466,COLOMBO,5,79.87,6.9,7,2016,7,0,0,0,0,0,0,0,0,4.4,0,19.9,4.3,0,0.7,0.1,1.8,0,0,0,0,0,0,0.7,3.9,0,8.2,0,0,0.3,4.9,0
43466,COLOMBO,5,79.87,6.9,7,2016,8,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
43466,COLOMBO,5,79.87,6.9,7,2016,9,4.2,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,17.8,0,
43466,COLOMBO,5,79.87,6.9,7,2016,10,0,0.3,0.5,0.7,0,0,0,0,0,0,0,0,2.6,2.6,136.3,0.9,10.5,40.9,0,6.4,0,7.4,19.3,110.7,0.9,4.5,0,0,8.5,13.2,7.8
43466,COLOMBO,5,79.87,6.9,7,2016,11,36.4,0.7,0.6,55.9,21.2,3.3,3.8,0,10,35.1,0,11.9,0,2.1,0,29,34.9,11.9,19.2,0.4,1.4,61.7,60.3,0,5,0,0,0,0,0,
43466,COLOMBO,5,79.87,6.9,7,2016,12,0,0,0,0,0,0,0,0.4,10.8,0,0.1,0,0,0,3.1,0,0,0,0,0,54.1,0,0,0,0,0,50.2,46.4,0,0,0
43466,COLOMBO,5,79.87,6.9,7,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,16.1,0,0.2,0.1,0,19.1,0,46.8,0.2,0,0
43466,COLOMBO,5,79.87,6.9,7,2017,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9,0,0,0,11.4,55.6,0,0,0,0,4.7,0.3,1.3,0,0.1,,,
43466,COLOMBO,5,79.87,6.9,7,2017,3,0,0,14.6,0,0,0,0,3.4,0,0.8,2.7,0,0.2,59.9,42.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,8.4,0,0.4
43466,COLOMBO,5,79.87,6.9,7,2017,4,1.1,0,0.8,0,0,0,0,0,1.9,0,18.1,58.2,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,
43466,COLOMBO,5,79.87,6.9,7,2017,5,0,0.1,0,0,2.4,3.1,1.9,0,59.6,17.8,0,0.7,0,3.4,0,0,0,90.2,1.6,0,1.8,0,2.1,71.9,34.7,1.4,0.4,25.1,11,10.3,3.9
43466,COLOMBO,5,79.87,6.9,7,2017,6,3.3,32.3,9.5,3.2,0.6,5.5,0,0,0,11.2,1.4,0.3,0,5.5,6.2,0.7,0.3,0.4,0,0,0,25.3,6.9,7.4,2.9,8.6,6.5,2.8,0,0.7,
43466,COLOMBO,5,79.87,6.9,7,2017,7,2.1,0,0,0,0,0,0,0,13.8,0.5,1,0,0,0,0,0,0,1.3,6.9,18.7,2.6,0,0,0,0,0,0,0,0,0,0.3
43466,COLOMBO,5,79.87,6.9,7,2017,8,1.7,0,0,0,0,4.8,0,0,0,1,0,0.2,0,0,0.3,0.4,12.2,5.8,16.3,0.1,19.1,1.2,0,0,0,0,3.9,1.2,0.4,0,1.7
43466,COLOMBO,5,79.87,6.9,7,2017,9,5.2,0,0.4,24.1,43.5,83.1,9.5,11.7,8.1,2.5,0,6.8,95.2,2.8,0,0,1.8,0,0,0,0.2,0,0,2,3.4,22.6,24.6,0.7,2.4,4.6,
43466,COLOMBO,5,79.87,6.9,7,2017,10,1.4,2.1,4.7,10.1,29.4,66,9.6,11.6,13.1,13.2,18.2,6.4,26.3,30.6,17.8,0,0,0.7,72.1,1.1,6,2.8,0,0,5.6,0,0,33,15.6,44.9,24.8
43466,COLOMBO,5,79.87,6.9,7,2017,11,0,0,0.2,8.1,0.4,42.4,8.3,15.4,0,0.6,0,0.5,0,0,0,0,0,38.2,5.1,29.7,15.1,0,0,0,14.5,0.1,0.2,7.2,74.7,33.5,
43466,COLOMBO,5,79.87,6.9,7,2017,12,43.3,27.4,0,0,0,0,0,0,0,3.1,0,0,10.5,56.7,20,0,0,0,0.6,0.8,9.9,0,0,0,0,0,0,0,0,0,0
43466,COLOMBO,5,79.87,6.9,7,2018,1,0,0,0,0,0,0,0,0,0,18.4,0,16.1,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.6,0.4
43466,COLOMBO,5,79.87,6.9,7,2018,2,0.9,0,0,0.2,0,31.2,1.5,7.4,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,16.1,0.4,50.7,,,
43466,COLOMBO,5,79.87,6.9,7,2018,3,1.8,7.4,15.1,0,0,0,0,0,4.7,1.5,0,1.1,0.7,0,0,0.3,0.2,0,2.6,0.1,0,0,0,0,0,33.2,0.1,0,0,0,0
43466,COLOMBO,5,79.87,6.9,7,2018,4,0,1.3,0,2.1,0,0.3,22.5,0,9.6,10.9,13.4,29.4,18.4,4.8,1.5,13.4,1.9,10.4,0,0,0,0,0,0.1,44.9,0,49.8,30.3,0,0,
43466,COLOMBO,5,79.87,6.9,7,2018,5,0,28.5,17.8,0,4.5,3.8,1,4.2,0,1.5,13.5,58.2,0.1,3.4,0,28.1,48.1,25,25.9,9.3,5.4,2.2,55.8,33.5,2.5,28.4,8.3,2,2.8,1.1,6.8
43466,COLOMBO,5,79.87,6.9,7,2018,6,20,7.7,6.5,2.1,1.1,8.2,7.3,0.6,2.8,4.4,0,0,9.6,4.8,12.1,17.6,5.7,1.3,0.4,4.3,5.2,2.1,16.9,13.1,0.3,1.4,0,0.3,0,0,
43466,COLOMBO,5,79.87,6.9,7,2018,7,4.1,0,0,0,0,0,0,0,13.9,33.5,8.7,0,0.1,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8
43466,COLOMBO,5,79.87,6.9,7,2018,8,1.1,0.9,0,0,0,0,7.4,15.7,0,0,0,0.4,4.1,18.8,8.6,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43466,COLOMBO,5,79.87,6.9,7,2018,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,7.8,0.6,0,16.3,17.7,8,114.1,85.4,1.8,0,0,4.3,5.4,1.9,
43466,COLOMBO,5,79.87,6.9,7,2018,10,67.6,4.2,0,0.2,16.7,119.8,5,66.5,2.1,0.2,0,0.5,4.2,0,1.1,3.8,0.8,8.4,19.1,26.8,46.6,74.1,42.9,16.9,2.3,7.2,0.1,0,0,0,2.6
43466,COLOMBO,5,79.87,6.9,7,2018,11,3.8,21.8,5.2,0,45.8,1,39.8,14.6,1.1,0,0,0,0,0,0,0,0.8,3.6,57.8,2.1,0,0,30.4,25.5,0.1,0,0,125.9,39.8,1.6,
43466,COLOMBO,5,79.87,6.9,7,2018,12,0,0,11.3,10.8,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,33.7,26.4,46.1,0,0,0,0,0,0
43466,COLOMBO,5,79.87,6.9,7,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,13.3,1.6,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
43466,COLOMBO,5,79.87,6.9,7,2019,2,0,0,0,70.6,2.4,0,0,21.5,36.7,0,0,0,0,12.5,0.1,0,0,0,13.2,0,0,0,0,0,0,0,0,0,,,
43466,COLOMBO,5,79.87,6.9,7,2019,3,0,0,0.2,4.4,0,0,0,0,0,0,0,0,0,0,0,0.2,11.8,23.2,0,0,0,1.6,0,0,0,0,0,0,0,0,0
43466,COLOMBO,5,79.87,6.9,7,2019,4,0,0,0,0,0,0,0,0,0,0,0,4.8,0.2,16.2,4.4,25.1,25.2,5.5,0,10.4,0,0.5,21.9,0,52,0,0,13,4.8,9.8,
43466,COLOMBO,5,79.87,6.9,7,2019,5,0.9,0.7,0.6,0,0,0,0,0,0,0,10.4,0.5,8.5,0,0,0,0,1,0,0,42.2,1.9,38,11.7,0.8,2.6,0,2.1,3.4,1.6,0
