Date,City,Wind Speed,Relative Humidity,Dewpoint,Precipitation,Sea level pressure,Evapotranspiration
2019-03-02,Colombo,21.794252,69.721794,-3.138125,0.7696237,1010.43,0.66073924
2019-03-03,Colombo,26.88037,93.6722,0.91340107,1.1552612,1023.59296,0.6047322
2019-03-04,Colombo,14.163956,93.74165,3.4887261,0.5793718,1021.55316,0.6782967
2019-03-05,Colombo,15.601806,83.8281,4.538236,0.3875347,1013.8129,1.3346475
2019-03-06,Colombo,15.623401,88.91455,3.4431753,2.3977284,1011.37274,0.8148622
2019-03-07,Colombo,19.343079,92.001,3.1550086,2.2106028,1021.23254,0.5901014
2019-03-08,Colombo,18.800415,66.08745,2.2121809,1.6960292,1008.8924,1.0820295
2019-03-09,Colombo,24.246689,81.17389,4.119469,2.0942707,1008.5521,0.9256801
2019-03-10,Colombo,21.424366,96.26034,8.249548,9.52069,1007.01196,0.78900576
2019-03-11,Colombo,19.452345,95.34678,9.303697,8.036606,1014.2717,0.46315804
2019-03-12,Colombo,20.626001,72.43324,7.2336636,0.46261322,1012.9315,1.6592567
2019-03-13,Colombo,22.376902,70.519684,2.5352216,0.0,1020.7914,1.1104567
2019-03-14,Colombo,18.387022,78.60613,3.284004,0.0,1021.05115,1.4602402
2019-03-15,Colombo,11.796267,77.69259,4.770746,0.20018516,1013.411,1.860924
2019-03-16,Colombo,8.067731,83.77902,5.12423,0.8033014,1005.0708,1.4647831
2019-03-17,Colombo,12.1193285,72.86548,-2.4485996,5.5738726,1007.03064,1.0263474
2019-03-18,Colombo,15.604953,69.95193,-3.9074152,0.26947325,1014.0904,0.9533661
2019-03-19,Colombo,16.496286,75.038376,-1.1624451,0.06758142,1025.5502,1.1177174
2019-03-20,Colombo,15.361492,56.124825,-3.2097797,0.06779445,1017.11,1.4734231
2019-03-21,Colombo,20.319132,76.211266,3.6032302,2.5162725,997.26984,1.2791008
2019-03-22,Colombo,20.640419,80.29772,3.206838,1.2279638,982.3297,1.257748
2019-03-23,Colombo,15.139798,74.38416,2.2114387,2.1898541,963.68945,0.97681916
2019-03-24,Colombo,21.286278,70.47062,0.18116206,7.2077866,975.04926,0.9530813
2019-03-25,Colombo,33.584457,72.55707,-1.2794766,0.5508651,998.5091,0.78150356
2019-03-26,Colombo,16.671804,79.64351,-0.5014372,0.6216353,1011.76886,1.0432909
2019-03-27,Colombo,12.889361,82.729965,1.9913045,6.6511636,998.3287,1.2450408
2019-03-28,Colombo,18.777304,73.81641,0.37676826,2.7103133,1004.6885,1.3657136
2019-03-29,Colombo,20.863626,75.90286,0.17259057,5.8554196,999.1483,1.240144
2019-03-30,Colombo,21.779362,68.98931,-2.3700988,7.7610598,1005.20807,0.99185336
2019-03-31,Colombo,9.727765,71.07575,-1.2271146,0.28052577,1018.26794,1.7626245
2019-04-01,Colombo,10.924216,66.1622,-0.5224423,0.0,1011.1277,2.1308067
2019-04-02,Colombo,14.194599,76.24865,4.4222775,2.8222048,997.8876,1.8627055
2019-04-03,Colombo,11.847835,73.3351,3.244661,1.4153364,994.9473,1.8048555
2019-04-04,Colombo,15.723744,70.42155,1.8183982,0.9936979,999.3072,1.6068531
2019-04-05,Colombo,12.183409,83.507996,2.8517382,2.206888,1005.26697,0.8902729
2019-04-06,Colombo,17.858503,71.594444,1.7481905,0.35700676,1010.6268,1.5864558
2019-04-07,Colombo,13.117748,63.680893,0.7920191,0.0,1001.38654,2.24993
2019-04-08,Colombo,12.243549,81.76734,2.7568285,3.950315,982.5463,1.3509839
2019-04-09,Colombo,21.835707,76.85378,1.3386276,2.0890162,995.0061,1.2726794
2019-04-10,Colombo,15.879808,82.94024,1.7325003,2.3118749,1000.766,1.1427066
2019-04-11,Colombo,11.404652,84.02669,2.858729,6.448676,1006.92584,1.6009525
2019-04-12,Colombo,8.116999,74.113144,1.962205,0.8720147,1014.2856,1.9903048
2019-04-13,Colombo,5.119389,73.199585,2.2083237,0.07287865,1016.7454,2.4511938
2019-04-14,Colombo,10.557933,89.286026,2.561298,6.066414,1008.9052,1.3150859
2019-04-15,Colombo,15.410862,84.37248,2.5040078,11.874583,1003.565,0.8235009
2019-04-16,Colombo,10.594368,77.45893,2.9274893,0.22053115,1008.1248,1.8108041
2019-04-17,Colombo,9.096679,68.54538,5.1852055,0.8846492,1015.78467,2.9392643
2019-04-18,Colombo,10.935106,69.63182,4.5233946,0.0,1021.8445,1.9950719
2019-04-19,Colombo,9.737198,66.71828,4.118732,0.22242382,1023.90424,2.5213525
2019-04-20,Colombo,10.36408,72.80472,5.3488917,0.07435137,1020.1641,2.594497
2019-04-21,Colombo,5.4966316,66.891174,5.7471437,0.0,1011.52386,3.308812
2019-04-22,Colombo,7.953796,65.977615,9.030132,0.14954261,1000.7837,3.4920485
2019-04-23,Colombo,9.806917,72.06407,11.288002,1.4996227,999.4434,3.4985313
2019-04-24,Colombo,8.2895775,73.15051,5.029046,1.127863,1008.0033,2.5141323
2019-04-25,Colombo,13.841144,65.23696,2.9977114,0.0,1010.6631,2.3892848
2019-04-26,Colombo,7.703621,78.32341,9.039828,6.426856,1002.52295,3.0844474
2019-04-27,Colombo,14.509518,68.40986,2.6749465,1.8196689,1012.2827,1.907104
2019-04-28,Colombo,20.103588,57.496307,2.6130376,0.15205781,1018.4425,2.865067
2019-04-29,Colombo,13.3241205,56.582756,6.8907676,0.0,1010.30237,3.6271489
2019-04-30,Colombo,13.659587,64.669205,11.190101,0.0,1005.1621,3.8903756
2019-05-01,Colombo,9.953012,65.75565,9.633961,0.38328224,1007.82196,3.162992
2019-05-02,Colombo,10.906798,64.842094,9.146385,0.15373088,1016.98175,3.3643868
2019-05-03,Colombo,4.6832814,59.92855,9.081312,0.07707435,1019.84155,4.601914
2019-05-04,Colombo,10.01088,59.00849,9.283895,0.0,1023.4077,4.3933206
