HCHO Reading,Location,Current Date,Next Date
0.0001438903508640865,"Deniyaya, Matara",2019-04-08,2019-04-09
9.165608034246397e-05,"Deniyaya, Matara",2019-04-09,2019-04-10
6.20313630194549e-05,"Deniyaya, Matara",2019-04-10,2019-04-11
8.426213025813922e-05,"Deniyaya, Matara",2019-04-11,2019-04-12
0.00016557602678497212,"Deniyaya, Matara",2019-04-12,2019-04-13
0.00022434459803760923,"Deniyaya, Matara",2019-04-13,2019-04-14
9.165608034246397e-05,"Deniyaya, Matara",2019-04-14,2019-04-15
9.165608034246397e-05,"Deniyaya, Matara",2019-04-15,2019-04-16
9.165608034246397e-05,"Deniyaya, Matara",2019-04-16,2019-04-17
9.165608034246397e-05,"Deniyaya, Matara",2019-04-17,2019-04-18
0.00010769374623524847,"Deniyaya, Matara",2019-04-18,2019-04-19
9.165608034246397e-05,"Deniyaya, Matara",2019-04-19,2019-04-20
9.165608034246397e-05,"Deniyaya, Matara",2019-04-20,2019-04-21
9.165608034246397e-05,"Deniyaya, Matara",2019-04-21,2019-04-22
0.00011670117964968085,"Deniyaya, Matara",2019-04-22,2019-04-23
5.1257976677339204e-05,"Deniyaya, Matara",2019-04-23,2019-04-24
0.00017836698211921295,"Deniyaya, Matara",2019-04-24,2019-04-25
9.165608034246397e-05,"Deniyaya, Matara",2019-04-25,2019-04-26
9.165608034246397e-05,"Deniyaya, Matara",2019-04-26,2019-04-27
9.165608034246397e-05,"Deniyaya, Matara",2019-04-27,2019-04-28
0.0001871501881396398,"Deniyaya, Matara",2019-04-28,2019-04-29
9.165608034246397e-05,"Deniyaya, Matara",2019-04-29,2019-04-30
9.165608034246397e-05,"Deniyaya, Matara",2019-04-30,2019-05-01
0.0001513876780742017,"Deniyaya, Matara",2019-05-01,2019-05-02
9.165608034246397e-05,"Deniyaya, Matara",2019-05-02,2019-05-03
9.165608034246397e-05,"Deniyaya, Matara",2019-05-03,2019-05-04
5.434144155589335e-05,"Deniyaya, Matara",2019-05-04,2019-05-05
7.521904743490836e-05,"Deniyaya, Matara",2019-05-05,2019-05-06
6.477919130672735e-05,"Deniyaya, Matara",2019-05-06,2019-05-07
8.903688521043591e-05,"Deniyaya, Matara",2019-05-07,2019-05-08
0.0001266048084834554,"Deniyaya, Matara",2019-05-08,2019-05-09
0.00011862556698542889,"Deniyaya, Matara",2019-05-09,2019-05-10
8.904187787431491e-05,"Deniyaya, Matara",2019-05-10,2019-05-11
2.9491144737781486e-05,"Deniyaya, Matara",2019-05-11,2019-05-12
4.16907598251222e-05,"Deniyaya, Matara",2019-05-12,2019-05-13
9.165608034246397e-05,"Deniyaya, Matara",2019-05-13,2019-05-14
9.758382500903084e-05,"Deniyaya, Matara",2019-05-14,2019-05-15
0.0001890657581933389,"Deniyaya, Matara",2019-05-15,2019-05-16
0.0001197343556303528,"Deniyaya, Matara",2019-05-16,2019-05-17
0.00010498806386215011,"Deniyaya, Matara",2019-05-17,2019-05-18
9.165608034246397e-05,"Deniyaya, Matara",2019-05-18,2019-05-19
9.658265808306527e-05,"Deniyaya, Matara",2019-05-19,2019-05-20
1.0668271897884551e-05,"Deniyaya, Matara",2019-05-20,2019-05-21
9.165608034246397e-05,"Deniyaya, Matara",2019-05-22,2019-05-23
9.165608034246397e-05,"Deniyaya, Matara",2019-05-23,2019-05-24
8.360032868662833e-05,"Deniyaya, Matara",2019-05-24,2019-05-25
5.2382561264022686e-05,"Deniyaya, Matara",2019-05-25,2019-05-26
0.00011270155958655655,"Deniyaya, Matara",2019-05-26,2019-05-27
0.00011064821434307609,"Deniyaya, Matara",2019-05-27,2019-05-28
0.00011135640542574636,"Deniyaya, Matara",2019-05-28,2019-05-29
9.165608034246397e-05,"Deniyaya, Matara",2019-05-29,2019-05-30
9.165608034246397e-05,"Deniyaya, Matara",2019-05-30,2019-05-31
0.00013096199836581945,"Deniyaya, Matara",2019-05-31,2019-06-01
7.860539060937241e-05,"Deniyaya, Matara",2019-06-01,2019-06-02
