HCHO Reading,Location,Current Date,Next Date
8.829725542537962e-05,Kurunegala Proper,2019-01-01,2019-01-02
0.00013707874027782185,Kurunegala Proper,2019-01-02,2019-01-03
0.0001480085027113037,Kurunegala Proper,2019-01-03,2019-01-04
-2.046379059735541e-06,Kurunegala Proper,2019-01-04,2019-01-05
0.0002489134742856164,Kurunegala Proper,2019-01-05,2019-01-06
0.00010155833001770782,Kurunegala Proper,2019-01-06,2019-01-07
0.00019190566681902724,Kurunegala Proper,2019-01-07,2019-01-08
0.00012155004561388685,Kurunegala Proper,2019-01-08,2019-01-09
9.741700467262773e-05,Kurunegala Proper,2019-01-09,2019-01-10
0.00011303426280120108,Kurunegala Proper,2019-01-10,2019-01-11
7.047632943988818e-05,Kurunegala Proper,2019-01-11,2019-01-12
0.0001691712548577679,Kurunegala Proper,2019-01-12,2019-01-13
0.0001340202702666862,Kurunegala Proper,2019-01-13,2019-01-14
0.0001340202702666862,Kurunegala Proper,2019-01-14,2019-01-15
8.792493954777681e-05,Kurunegala Proper,2019-01-15,2019-01-16
6.834336052834083e-05,Kurunegala Proper,2019-01-16,2019-01-17
0.00013806247978490952,Kurunegala Proper,2019-01-17,2019-01-18
0.00017382233094526332,Kurunegala Proper,2019-01-18,2019-01-19
0.0004428761270622924,Kurunegala Proper,2019-01-19,2019-01-20
9.756178281847059e-05,Kurunegala Proper,2019-01-20,2019-01-21
0.00019597891944758412,Kurunegala Proper,2019-01-21,2019-01-22
0.0002374446632005548,Kurunegala Proper,2019-01-22,2019-01-23
0.0001623734482581754,Kurunegala Proper,2019-01-23,2019-01-24
0.0003623356418718673,Kurunegala Proper,2019-01-24,2019-01-25
0.00012785216527853735,Kurunegala Proper,2019-01-25,2019-01-26
0.00016604364391048623,Kurunegala Proper,2019-01-26,2019-01-27
0.00014999656662541432,Kurunegala Proper,2019-01-27,2019-01-28
0.00010804992542427686,Kurunegala Proper,2019-01-28,2019-01-29
0.00011581419000969629,Kurunegala Proper,2019-01-29,2019-01-30
0.0001113523173507818,Kurunegala Proper,2019-01-30,2019-01-31
2.449285979142846e-05,Kurunegala Proper,2019-01-31,2019-02-01
0.0001926267275908041,Kurunegala Proper,2019-02-01,2019-02-02
4.824408500716178e-05,Kurunegala Proper,2019-02-02,2019-02-03
-3.6669306209120476e-05,Kurunegala Proper,2019-02-03,2019-02-04
0.0001340202702666862,Kurunegala Proper,2019-02-04,2019-02-05
0.0001340202702666862,Kurunegala Proper,2019-02-05,2019-02-06
0.0001913403998944045,Kurunegala Proper,2019-02-06,2019-02-07
0.00029476620470321175,Kurunegala Proper,2019-02-07,2019-02-08
0.00029700685990974307,Kurunegala Proper,2019-02-08,2019-02-09
0.0001340202702666862,Kurunegala Proper,2019-02-09,2019-02-10
7.523556172334847e-05,Kurunegala Proper,2019-02-10,2019-02-11
0.0001297080667525631,Kurunegala Proper,2019-02-11,2019-02-12
6.270259499786078e-05,Kurunegala Proper,2019-02-12,2019-02-13
8.990000185560485e-05,Kurunegala Proper,2019-02-13,2019-02-14
7.931416535107657e-05,Kurunegala Proper,2019-02-14,2019-02-15
6.0740207710781725e-05,Kurunegala Proper,2019-02-15,2019-02-16
0.0001340202702666862,Kurunegala Proper,2019-02-16,2019-02-17
0.00015017120953517022,Kurunegala Proper,2019-02-17,2019-02-18
0.00020172585062888597,Kurunegala Proper,2019-02-18,2019-02-19
0.0002586245505792206,Kurunegala Proper,2019-02-19,2019-02-20
8.79509593267587e-05,Kurunegala Proper,2019-02-20,2019-02-21
0.00014645464815482445,Kurunegala Proper,2019-02-21,2019-02-22
0.0001375125401253748,Kurunegala Proper,2019-02-22,2019-02-23
0.00040782767379402793,Kurunegala Proper,2019-02-23,2019-02-24
0.00023619835396066546,Kurunegala Proper,2019-02-24,2019-02-25
8.145316466296842e-05,Kurunegala Proper,2019-02-25,2019-02-26
0.00017967359936723644,Kurunegala Proper,2019-02-26,2019-02-27
0.00023227365805588484,Kurunegala Proper,2019-02-27,2019-02-28
0.0001340202702666862,Kurunegala Proper,2019-02-28,2019-03-01
0.0001340202702666862,Kurunegala Proper,2019-03-01,2019-03-02
0.00022620310944142184,Kurunegala Proper,2019-03-02,2019-03-03
0.00012598668893637125,Kurunegala Proper,2019-03-03,2019-03-04
0.00017145443134682076,Kurunegala Proper,2019-03-04,2019-03-05
0.00013420285270373836,Kurunegala Proper,2019-03-05,2019-03-06
0.0001580027758568156,Kurunegala Proper,2019-03-06,2019-03-07
0.00018920686578255378,Kurunegala Proper,2019-03-07,2019-03-08
0.00010394256569430244,Kurunegala Proper,2019-03-08,2019-03-09
0.0001340202702666862,Kurunegala Proper,2019-03-09,2019-03-10
0.0001568034910526609,Kurunegala Proper,2019-03-10,2019-03-11
0.00025453703414873364,Kurunegala Proper,2019-03-11,2019-03-12
0.00016623092922887905,Kurunegala Proper,2019-03-12,2019-03-13
0.0003549058798361384,Kurunegala Proper,2019-03-13,2019-03-14
0.0002650971419890203,Kurunegala Proper,2019-03-14,2019-03-15
0.0002519274524677995,Kurunegala Proper,2019-03-15,2019-03-16
0.00015086742490081717,Kurunegala Proper,2019-03-16,2019-03-17
0.0001988515444004105,Kurunegala Proper,2019-03-17,2019-03-18
0.00010313165491341297,Kurunegala Proper,2019-03-18,2019-03-19
0.00022914396635518206,Kurunegala Proper,2019-03-19,2019-03-20
0.00022452136854552015,Kurunegala Proper,2019-03-20,2019-03-21
0.0001340202702666862,Kurunegala Proper,2019-03-21,2019-03-22
0.0002345326298606485,Kurunegala Proper,2019-03-22,2019-03-23
0.0002848332356072509,Kurunegala Proper,2019-03-23,2019-03-24
0.00019851071341557309,Kurunegala Proper,2019-03-24,2019-03-25
0.00019216819110264114,Kurunegala Proper,2019-03-25,2019-03-26
0.0002917578396021135,Kurunegala Proper,2019-03-26,2019-03-27
0.0004375629936587657,Kurunegala Proper,2019-03-27,2019-03-28
0.00020765751672967284,Kurunegala Proper,2019-03-28,2019-03-29
0.0003537468371026577,Kurunegala Proper,2019-03-29,2019-03-30
0.00031558411507226296,Kurunegala Proper,2019-03-30,2019-03-31
0.00020051283542875755,Kurunegala Proper,2019-03-31,2019-04-01
0.0001913736846052141,Kurunegala Proper,2019-04-01,2019-04-02
0.00022925926735999742,Kurunegala Proper,2019-04-02,2019-04-03
0.0001856483874482169,Kurunegala Proper,2019-04-03,2019-04-04
0.0001997694690952999,Kurunegala Proper,2019-04-04,2019-04-05
0.00019864757209323556,Kurunegala Proper,2019-04-05,2019-04-06
0.00020383357077437053,Kurunegala Proper,2019-04-06,2019-04-07
0.0002632298358881271,Kurunegala Proper,2019-04-07,2019-04-08
0.0002901479325215971,Kurunegala Proper,2019-04-08,2019-04-09
0.00016451799472138207,Kurunegala Proper,2019-04-09,2019-04-10
0.0001457744638877626,Kurunegala Proper,2019-04-10,2019-04-11
0.0001340202702666862,Kurunegala Proper,2019-04-11,2019-04-12
0.00023470977033008788,Kurunegala Proper,2019-04-12,2019-04-13
0.0002282964378382696,Kurunegala Proper,2019-04-13,2019-04-14
0.0001340202702666862,Kurunegala Proper,2019-04-14,2019-04-15
0.0001340202702666862,Kurunegala Proper,2019-04-15,2019-04-16
0.0001340202702666862,Kurunegala Proper,2019-04-16,2019-04-17
0.0001340202702666862,Kurunegala Proper,2019-04-17,2019-04-18
0.0002162962247226598,Kurunegala Proper,2019-04-18,2019-04-19
0.00025959179786596344,Kurunegala Proper,2019-04-19,2019-04-20
0.0001340202702666862,Kurunegala Proper,2019-04-20,2019-04-21
0.00013015419113522302,Kurunegala Proper,2019-04-21,2019-04-22
0.00018446799862472822,Kurunegala Proper,2019-04-22,2019-04-23
